# time panda_joint1 panda_joint2 panda_joint3 panda_joint4 panda_joint5 panda_joint6 panda_joint7 panda_finger_joint1 panda_finger_joint2
0.645000 -0.01418319 -0.30049612 -0.01905389 -1.98151902 0.00188057 3.06733179 0.74100000 0.04000000 0.04000000
0.650000 -0.01428363 -0.29834015 -0.01918338 -1.98028518 0.00189362 3.06761137 0.74100000 0.04000000 0.04000000
0.655000 -0.01438399 -0.29618299 -0.01931261 -1.97904753 0.00190665 3.06789152 0.74100000 0.04000000 0.04000000
0.660000 -0.01448426 -0.29402467 -0.01944157 -1.97780607 0.00191965 3.06817223 0.74100000 0.04000000 0.04000000
0.665000 -0.01458445 -0.29186516 -0.01957026 -1.97656079 0.00193264 3.06845351 0.74100000 0.04000000 0.04000000
0.670000 -0.01468457 -0.28970449 -0.01969868 -1.97531170 0.00194559 3.06873535 0.74100000 0.04000000 0.04000000
0.675000 -0.01478460 -0.28754265 -0.01982684 -1.97405879 0.00195853 3.06901774 0.74100000 0.04000000 0.04000000
0.680000 -0.01488455 -0.28537965 -0.01995473 -1.97280205 0.00197145 3.06930068 0.74100000 0.04000000 0.04000000
0.685000 -0.01498443 -0.28321549 -0.02008235 -1.97154149 0.00198434 3.06958418 0.74100000 0.04000000 0.04000000
0.690000 -0.01508423 -0.28105017 -0.02020971 -1.97027711 0.00199720 3.06986821 0.74100000 0.04000000 0.04000000
0.695000 -0.01518395 -0.27888370 -0.02033679 -1.96900890 0.00201005 3.07015279 0.74100000 0.04000000 0.04000000
0.700000 -0.01528360 -0.27671608 -0.02046361 -1.96773686 0.00202287 3.07043790 0.74100000 0.04000000 0.04000000
0.705000 -0.01538318 -0.27454732 -0.02059016 -1.96646098 0.00203567 3.07072355 0.74100000 0.04000000 0.04000000
0.710000 -0.01548269 -0.27237741 -0.02071644 -1.96518127 0.00204845 3.07100973 0.74100000 0.04000000 0.04000000
0.715000 -0.01558213 -0.27020637 -0.02084245 -1.96389772 0.00206120 3.07129644 0.74100000 0.04000000 0.04000000
0.720000 -0.01568150 -0.26803419 -0.02096819 -1.96261033 0.00207393 3.07158367 0.74100000 0.04000000 0.04000000
0.725000 -0.01578081 -0.26586087 -0.02109366 -1.96131910 0.00208664 3.07187142 0.74100000 0.04000000 0.04000000
0.730000 -0.01588004 -0.26368643 -0.02121886 -1.96002402 0.00209933 3.07215969 0.74100000 0.04000000 0.04000000
0.735000 -0.01597922 -0.26151086 -0.02134380 -1.95872509 0.00211199 3.07244847 0.74100000 0.04000000 0.04000000
0.740000 -0.01607833 -0.25933417 -0.02146846 -1.95742231 0.00212463 3.07273775 0.74100000 0.04000000 0.04000000
0.745000 -0.01617737 -0.25715636 -0.02159285 -1.95611568 0.00213724 3.07302755 0.74100000 0.04000000 0.04000000
0.750000 -0.01627636 -0.25497744 -0.02171697 -1.95480520 0.00214983 3.07331784 0.74100000 0.04000000 0.04000000
0.755000 -0.01637529 -0.25279740 -0.02184081 -1.95349085 0.00216240 3.07360864 0.74100000 0.04000000 0.04000000
0.760000 -0.01647415 -0.25061625 -0.02196439 -1.95217265 0.00217495 3.07389993 0.74100000 0.04000000 0.04000000
0.765000 -0.01657296 -0.24843399 -0.02208770 -1.95085058 0.00218747 3.07419171 0.74100000 0.04000000 0.04000000
